area,district,floor,location,mode,price,year
176,建邺,低层(共33层),仁恒江湾城竹苑,4室2厅2卫,53977,2010
122,浦口,高层(共11层),威尼斯水城第五街区,3室2厅2卫,21721,2010
195,建邺,中层(共18层),万科金域缇香,4室2厅2卫,51282,2008
335,江宁,共3层,牧龙原墅,5室3厅3卫,17850,2016
88,雨花台,中层(共28层),金地自在城八期,3室2厅1卫,25340,2014
78,江宁,低层(共8层),南京碧桂园语林苑,2室2厅2卫,21282,2015
86,江宁,低层(共18层),牧龙湖壹号(滨江华苑),2室2厅1卫,16860,2015
93,南京周边,中层(共34层),招商依云尚城,3室2厅1卫,13225,2015
42,雨花台,中层(共11层),正达公寓,1室1厅1卫,9285,2016
156,江宁,高层(共6层),21世纪假日花园,4室2厅2卫,28205,2008
180,秦淮,中层(共38层),金鹰国际花园,3室2厅2卫,42777,2003
